accuracy,precision,f1,recall,day
0.9649122807017544,0.974025974025974,0.974025974025974,0.974025974025974,0
0.956140350877193,0.9615384615384616,0.967741935483871,0.974025974025974,1
0.9736842105263158,1.0,0.9793103448275862,0.9594594594594594,2
0.9473684210526315,0.9402985074626866,0.9545454545454546,0.9692307692307692,3
0.9736842105263158,0.9859154929577465,0.9790209790209791,0.9722222222222222,4
0.956140350877193,0.9516129032258065,0.959349593495935,0.9672131147540983,5
0.956140350877193,0.972972972972973,0.9664429530201343,0.96,6
0.9298245614035088,0.9402985074626866,0.9402985074626866,0.9402985074626866,7
0.9473684210526315,0.9552238805970149,0.9552238805970149,0.9552238805970149,8
0.9385964912280702,0.9375,0.9448818897637795,0.9523809523809523,9
